Location,Price,Size,Bedrooms,Bathrooms,Basement,Furnished,Roommates,AC,Washer/Dryer,Cats OK,Dogs OK,Date Posted,Title,URL,Listing ID
Burnaby,3100,1000,2,2,0,0,0,0,1,0,0,2024-10-04,BRENTWOOD MALL 2 bed 2 bath condo with SW views,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brentwood-mall-bed-bath-condo/7790689924.html,7790689924
Burnaby,3100,1500,3,2,1,0,0,0,1,0,0,2024-10-22,"3bdrm  / 2 bath basement suite, partial rental acceptable",https://vancouver.craigslist.org/bnc/apa/d/burnaby-3bdrm-bath-basement-suite/7795592786.html,7795592786
Burnaby,3100,695,2,2,0,0,0,1,1,0,0,2024-10-21,Gilmore T1 Brand new 23th floor 2Bed + 2Bath  AC unit @ Brentwood,https://vancouver.craigslist.org/bnc/apa/d/burnaby-gilmore-t1-brand-new-23th-floor/7795464812.html,7795464812
Burnaby,3099,1300,3,2,1,0,0,0,1,1,1,2024-10-12,3 Bedroom 2 bathroom upstairs for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-bathroom-upstairs-for/7792661755.html,7792661755
Burnaby,3099,1200,3,1.5,1,0,0,0,1,1,1,2024-10-09,3 Bedrooms Upstairs Edmonds Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedrooms-upstairs-edmonds/7791939435.html,7791939435
Burnaby,3075,806,2,1,0,0,0,0,1,0,0,2024-10-20,"2/bd 1/ba, Tennis Court, Secure Entry",https://vancouver.craigslist.org/bnc/apa/d/burnaby-bd-ba-tennis-court-secure-entry/7795013803.html,7795013803
Burnaby,3015,900,1,1,0,0,0,0,0,1,0,2024-10-22,TWO BEDROOM SUITE 1.5 BATH  -*SPACIOUS UNIT *Perfect location,https://vancouver.craigslist.org/bnc/apa/d/burnaby-two-bedroom-suite-15-bath/7795567053.html,7795567053
Burnaby,3000,860,2,2,0,0,0,1,1,0,0,2024-10-03,2 bed & 2 bath 6F unit w/ AC @ Juneau,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bed-bath-6f-unit-ac-juneau/7790238776.html,7790238776
Burnaby,2995,825,2,1,0,1,0,0,1,1,1,2024-10-13,MW: Fully Furnished 2 bed & 2 Bathroom Furnished suite,https://vancouver.craigslist.org/bnc/apa/d/burnaby-mw-fully-furnished-bed-bathroom/7793037712.html,7793037712
Burnaby,2909,932,2,1,0,0,0,0,0,1,1,2024-10-05,"Pet Friendly 2BR/1BA. Modern, Spacious, Near Skytrain, SFU, Mall",https://vancouver.craigslist.org/bnc/apa/d/burnaby-pet-friendly-2br-1ba-modern/7790867047.html,7790867047
Burnaby,2900,807,2,2,0,0,0,0,1,0,0,2024-10-22,Brand New 2 Bed & 2 Bath Top Level unit at Azure 2,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-bed-bath-top-level/7795474758.html,7795474758
Burnaby,2900,950,2,2,0,0,0,0,1,0,0,2024-10-21,Sandlewood Condo @ Near Lougheed Skytrain Station,https://vancouver.craigslist.org/bnc/apa/d/burnaby-sandlewood-condo-near-lougheed/7795470831.html,7795470831
Burnaby,2850,1013,2,2.5,0,0,0,0,1,0,0,2024-10-21,Townhome for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-townhome-for-rent/7795468900.html,7795468900
Burnaby,2800,980,2,2,0,0,0,0,1,0,0,2024-10-21,2 bedroom townhouse for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-townhouse-for-rent/7795470147.html,7795470147
Burnaby,2750,900,2,2,0,0,0,1,1,0,0,2024-09-30,17th floor,https://vancouver.craigslist.org/bnc/apa/d/17th-floor/7789276982.html,7789276982
Burnaby,2600,1500,2,1,1,0,0,0,1,0,0,2024-10-21,2BR Suite Available (Internet + Utilities Incl),https://vancouver.craigslist.org/bnc/apa/d/burnaby-2br-suite-available-internet/7795464213.html,7795464213
Burnaby,2550,607,1,1,0,0,0,0,1,0,0,2024-10-08,"Beatiful 1 Bedroom+1Bath+Den Condo@MET, Metrotown",https://vancouver.craigslist.org/bnc/apa/d/burnaby-beatiful-bedroom1bathden/7791715941.html,7791715941
Burnaby,2550,600,1,1,0,0,0,1,1,0,0,2024-10-09,Prosprise Realty-1 bed 1 den condo in Brentwood Center!Ref:1802-5333,https://vancouver.craigslist.org/bnc/apa/d/burnaby-prosprise-realty-bed-den-condo/7791897021.html,7791897021
Burnaby,2500,900,2,1,0,1,0,0,0,0,0,2024-10-22,Prime Location - 2 blocks from Metrotown Mall,https://vancouver.craigslist.org/bnc/apa/d/burnaby-prime-location-blocks-from/7795589172.html,7795589172
Burnaby,2450,477,1,1,0,0,0,0,1,0,0,2024-10-03,Condo on 58th floor - across street from Metrotown Station,https://vancouver.craigslist.org/bnc/apa/d/burnaby-condo-on-58th-floor-across/7790305257.html,7790305257
Burnaby,2450,950,2,1,1,0,0,0,0,0,0,2024-10-14,Beautiful basement suite In North Burnaby,https://vancouver.craigslist.org/bnc/apa/d/burnaby-beautiful-basement-suite-in/7793249571.html,7793249571
Burnaby,2425,613,1,1,0,0,0,0,1,0,0,2024-09-25,"Secure Entry, Bike Storage, Availability 24 Hours",https://vancouver.craigslist.org/bnc/apa/d/burnaby-secure-entry-bike-storage/7787937844.html,7787937844
Burnaby,2400,485,1,1,0,0,0,1,1,0,0,2024-10-22,Newer 1 Bedroom at the Popular Triomphe with Amazing Amenities!,https://vancouver.craigslist.org/bnc/apa/d/burnaby-newer-bedroom-at-the-popular/7795607213.html,7795607213
Burnaby,2400,582,1,1,0,0,0,1,1,0,0,2024-10-22,Large 1 BR + 1 Bath unit located near Brentwood,https://vancouver.craigslist.org/bnc/apa/d/burnaby-large-br-bath-unit-located-near/7795474407.html,7795474407
Burnaby,2400,700,1,1,0,1,0,0,1,0,0,2024-10-22,"FURNISHED 1 Bed & 1 Bath, located at SFU Burnaby Campus",https://vancouver.craigslist.org/bnc/apa/d/burnaby-furnished-bed-bath-located-at/7795474373.html,7795474373
Burnaby,2400,622,1,1,0,1,0,0,1,0,0,2024-10-21,Rarely found 1 bedroom Townhome for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-rarely-found-bedroom-townhome/7795468897.html,7795468897
Burnaby,2400,650,2,1,1,1,0,0,0,0,0,2024-10-17,Two bedroom suite,https://vancouver.craigslist.org/bnc/apa/d/burnaby-two-bedroom-suite/7794355854.html,7794355854
Burnaby,2395,952,2,1,0,0,0,0,1,0,0,2024-09-28,"Large, Updated, 2 Bedroom Ground Floor Home in North Burnaby",https://vancouver.craigslist.org/bnc/apa/d/burnaby-large-updated-bedroom-ground/7788837460.html,7788837460
Burnaby,2395,602,1,1,0,0,0,0,1,0,0,2024-10-12,"Laundry facilities, On-Site Management, 1/BD 1/BA",https://vancouver.craigslist.org/bnc/apa/d/burnaby-laundry-facilities-on-site/7792722877.html,7792722877
Burnaby,2390,700,2,1,1,1,0,1,1,0,0,2024-10-19,2 year New FURNISHED 2 BR & AC Basement,https://vancouver.craigslist.org/bnc/apa/d/burnaby-year-new-furnished-br-ac/7794924235.html,7794924235
Burnaby,2380,500,1,1,0,0,0,1,1,0,0,2024-10-16,1 Bedroom Condo at Metrotown,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-condo-at-metrotown/7794047592.html,7794047592
Burnaby,2325,602,1,1,0,0,0,0,1,0,0,2024-10-20,"1 Bed, In-suite Laundry, Social Room",https://vancouver.craigslist.org/bnc/apa/d/burnaby-bed-in-suite-laundry-social-room/7795028598.html,7795028598
Burnaby,2312,759,1,1,0,0,0,0,0,1,1,2024-10-05,"Pet Friendly 1BR/1BA in Burnaby. Spacious, Near SFU, Skytrain, Mall",https://vancouver.craigslist.org/bnc/apa/d/burnaby-pet-friendly-1br-1ba-in-burnaby/7790867363.html,7790867363
Burnaby,2250,530,1,1,0,0,0,0,1,0,0,2024-10-22,Amazing Brentwood One Bedroom One Bathroom Condo for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-amazing-brentwood-one-bedroom/7795471906.html,7795471906
Burnaby,2210,612,1,1,0,0,0,0,0,1,0,2024-10-22,1 BEDROOM-23rd floor Beautiful Apartment / Convenient location /,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-23rd-floor-beautiful/7795566794.html,7795566794
Burnaby,2190,900,2,1,1,0,0,0,1,0,0,2024-10-19,Super spacious two bedroom newly renovated in,https://vancouver.craigslist.org/bnc/apa/d/burnaby-super-spacious-two-bedroom/7794923879.html,7794923879
Burnaby,2100,850,2,1,1,0,0,0,1,0,0,2024-10-05,3 year old basement suite 2 bed/ 1 bath for rent,https://vancouver.craigslist.org/bnc/apa/d/burnaby-year-old-basement-suite-bed/7790777854.html,7790777854
Burnaby,2050,850,1,1,0,0,0,0,0,0,0,2024-10-07,Metrotown Huge Corner 1 BR (View) Apt,https://vancouver.craigslist.org/bnc/apa/d/burnaby-metrotown-huge-corner-br-view/7791367862.html,7791367862
Burnaby,2000,850,2,1,1,0,0,0,1,0,0,2024-10-06,"2 Bedroom, 1 Bathroom Basement Suite for Rent – Near High Gate Mall",https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-bathroom-basement-suite/7791194339.html,7791194339
Burnaby,1995,500,1,Not available,0,1,0,0,1,0,0,2024-10-17,Modern 1-Bedroom Lower-Level Suite with Private Entrance in Burnaby's,https://vancouver.craigslist.org/bnc/apa/d/burnaby-modern-bedroom-lower-level/7794356526.html,7794356526
Burnaby,1995,575,1,1,0,0,0,0,1,0,0,2024-10-18,"Beautiful, cozy 1BR Suite @ The Hub / SFU",https://vancouver.craigslist.org/bnc/apa/d/burnaby-beautiful-cozy-1br-suite-the/7794580995.html,7794580995
Burnaby,1960,589,0,1,0,0,0,0,0,1,0,2024-10-22,BRIGHT STUDIO UNIT -8th floor CHARMING UNIT *MINUTES FROM METROTOWN,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bright-studio-unit-8th-floor/7795566932.html,7795566932
Burnaby,1850,500,1,1,0,0,0,0,1,0,0,2024-10-22,1 bedroom suite in a single house,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-suite-in-single-house/7795498600.html,7795498600
Burnaby,1800,250,1,1,0,0,0,1,1,0,0,2024-10-22,RESIDE - NEW 1 BED + 1 BATH + A/C + STREET PARKING IN BURNABY,https://vancouver.craigslist.org/bnc/apa/d/burnaby-reside-new-bed-bath-c-street/7795479095.html,7795479095
Burnaby,1800,500,2,1,0,1,0,0,1,0,0,2024-09-30,Burnaby North - Laneway House - 2 Beds Furnished,https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-north-laneway-house/7789509627.html,7789509627
Burnaby,1600,600,1,1,1,0,0,0,1,0,0,2024-10-18,One bedroom basement suite North Burnaby(virtual tour included)),https://vancouver.craigslist.org/bnc/apa/d/burnaby-one-bedroom-basement-suite/7794632016.html,7794632016
Burnaby,1500,350,1,1,0,0,0,0,0,0,0,2024-10-19,1 bedroom suite in quiet area,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-suite-in-quiet-area/7794779056.html,7794779056
Burnaby,950,150,1,1,0,1,0,0,0,0,0,2024-10-16,Furnished bedroom North Burnaby,https://vancouver.craigslist.org/van/apa/d/burnaby-furnished-bedroom-north-burnaby/7793993787.html,7793993787
Coquitlam,4500,2200,3,2.5,0,0,0,0,1,1,1,2024-10-21,House for rent,https://vancouver.craigslist.org/pml/apa/d/coquitlam-house-for-rent/7795458690.html,7795458690
Coquitlam,4000,1533,3,2.5,0,0,0,0,1,0,0,2024-10-04,Brand New 3bd townhouse at Forester 2 At Burke Mountain,https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new-3bd-townhouse-at/7790636595.html,7790636595
Coquitlam,3800,1165,2,2,0,0,0,1,1,0,0,2024-10-14,LUXURIOUS 2 BEDROOM & DEN W/ RARE PARKING ON SAME LEVEL AS UNIT,https://vancouver.craigslist.org/pml/apa/d/coquitlam-luxurious-bedroom-den-rare/7793427095.html,7793427095
Coquitlam,3650,1000,3,2,0,1,0,1,1,1,1,2024-10-21,"3bed, 2bath in Burquitlam",https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-3bed-2bath-in-burquitlam/7795465912.html,7795465912
Coquitlam,3150,1278,2,2,0,0,0,0,1,0,0,2024-10-10,"Brookmere Towers - - Amazing, Spacious Unit Overlooking Park",https://vancouver.craigslist.org/pml/apa/d/coquitlam-brookmere-towers-amazing/7792324289.html,7792324289
Coquitlam,3000,2000,3,1.5,0,0,0,1,1,1,1,2024-09-24,3 Beds 1.5 Baths upstairs unit in Port Coquitlam,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-beds-15-baths-upstairs/7787708217.html,7787708217
Coquitlam,2995,800,1,1,0,1,0,0,1,0,0,2024-10-11,"Cozy 1 Bed, 1 Bath with Walk-In Closet and Balcony",https://vancouver.craigslist.org/bnc/apa/d/port-coquitlam-cozy-bed-bath-with-walk/7792649652.html,7792649652
Coquitlam,2990,2000,2,2,0,1,0,0,1,0,1,2024-10-09,Very spacious 2 bdrm + den Townhouse at Crescentview /,https://vancouver.craigslist.org/pml/apa/d/coquitlam-very-spacious-bdrm-den/7791880862.html,7791880862
Coquitlam,2990,2100,3,1.5,0,1,0,0,1,0,1,2024-10-17,Very spacious 3 bdrm   Townhouse at Crescentview /,https://vancouver.craigslist.org/pml/apa/d/coquitlam-very-spacious-bdrm-townhouse/7794185510.html,7794185510
Coquitlam,2850,925,2,1,0,0,0,1,1,1,1,2024-10-07,Beautiful 2 Bedroom 1 Bath Mountain View 35/F Lougheed Heights,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-beautiful-bedroom-bath/7791424954.html,7791424954
Coquitlam,2800,832,2,2,0,0,0,0,1,0,0,2024-10-21,"New Carpeting, Fresh Paint & In a Nice Location! STANTON HOUSE",https://vancouver.craigslist.org/pml/apa/d/coquitlam-new-carpeting-fresh-paint-in/7795466352.html,7795466352
Coquitlam,2750,850,2,2,0,0,0,0,1,0,0,2024-10-16,2Bed+2Bath concrete high-rise 10F corner unit @ Oasis,https://vancouver.craigslist.org/pml/apa/d/coquitlam-2bed2bath-concrete-high-rise/7793946564.html,7793946564
Coquitlam,2730,884,2,1,0,0,0,0,1,0,0,2024-10-06,"🌟 Spacious 2-Bed Suite Private Patio, close to Burquitlam Sky train",https://vancouver.craigslist.org/bnc/apa/d/coquitlam-spacious-bed-suite-private/7791030495.html,7791030495
Coquitlam,2700,730,2,1,0,0,0,0,1,0,0,2024-10-17,2 beds & 1 bath newly apartment  in burcoquitlam,https://vancouver.craigslist.org/pml/apa/d/coquitlam-beds-bath-newly-apartment-in/7794193853.html,7794193853
Coquitlam,2695,770,2,1,0,0,0,0,0,1,1,2024-10-01,"2 bed/1bath Coquitlam, Laminate floors, quartz counters, roller shades",https://vancouver.craigslist.org/pml/apa/d/coquitlam-bed-1bath-coquitlam-laminate/7789758554.html,7789758554
Coquitlam,2695,780,2,1,0,0,0,0,0,1,1,2024-10-09,"2BD - Pet Friendly Apartment Located In Coquitlam, Available Nov 1st",https://vancouver.craigslist.org/pml/apa/d/coquitlam-2bd-pet-friendly-apartment/7791973549.html,7791973549
Coquitlam,2650,864,2,2,0,0,0,0,1,0,0,2024-10-03,2Bed+2bath 3F unit @ Windsor Gate,https://vancouver.craigslist.org/pml/apa/d/coquitlam-2bed2bath-3f-unit-windsor-gate/7790227439.html,7790227439
Coquitlam,2650,731,2,2,0,0,0,1,1,0,0,2024-10-21,BRAND NEW 2bd+2bth unit@SOCO by ANTHEM 731sqft FOR RENT ASAP!!!!!!!!!,https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new-2bd2bth-unitsoco-by/7795457712.html,7795457712
Coquitlam,2600,1450,3,1,0,0,0,0,1,0,0,2024-10-16,"3 BEDROOMS, 1 PATIO,1 GARAGE",https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-south-bedrooms-patio1/7793890748.html,7793890748
Coquitlam,2600,1200,3,1,0,0,0,0,1,0,0,2024-10-09,entire UPPER floor above garden level house 3 bedroom suite for rent,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-entire-upper-floor-above/7792068057.html,7792068057
Coquitlam,2450,600,1,1,0,0,0,1,1,0,0,2024-10-15,[Lougheed SOCO]1BR+Den 1,https://vancouver.craigslist.org/bnc/apa/d/coquitlam-lougheed-soco1brden/7793680968.html,7793680968
Coquitlam,2395,900,2,1,0,0,0,1,1,1,1,2024-10-08,"Luxury 2-Bedroom Suite with Large Balcony, near Port Coquitlam Center",https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-central-luxury-bedroom/7791720335.html,7791720335
Coquitlam,2350,585,1,1,0,0,0,0,0,1,1,2024-10-07,"Coquitlam BC,1/bd 1/ba - Pet Friendly Apartment",https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-bc1-bd-ba-pet/7791472262.html,7791472262
Coquitlam,2300,551,1,1,0,0,0,1,1,0,0,2024-10-21,BRAND NEW 1bd+1bth+1den unit at SOCO south Coquitlam for RENT ASAP!!!!,https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new-1bd1bth1den-unit-at/7795457636.html,7795457636
Coquitlam,2295,585,1,1,0,0,0,0,0,0,0,2024-10-05,1Bd - Pet Friendly Apartment in Coquitlam,https://vancouver.craigslist.org/pml/apa/d/coquitlam-1bd-pet-friendly-apartment-in/7790909773.html,7790909773
Coquitlam,2200,800,2,1,1,1,0,0,0,0,0,2024-10-22,2bedroom/1 bathroom bsmt suite for rent,https://vancouver.craigslist.org/pml/apa/d/coquitlam-north-2bedroom-bathroom-bsmt/7795587028.html,7795587028
Coquitlam,2150,615,1,1,0,0,0,0,1,0,0,2024-10-01,Apartment for rent,https://vancouver.craigslist.org/pml/apa/d/coquitlam-apartment-for-rent/7789799999.html,7789799999
Coquitlam,2100,1480,2,1,0,0,0,0,1,0,0,2024-10-22,coquitlam westwoodplateau 2 bedroom suite,https://vancouver.craigslist.org/pml/apa/d/coquitlam-coquitlam-westwoodplateau/7795611342.html,7795611342
Coquitlam,2100,478,0,1,0,0,0,1,1,1,1,2024-10-13,"BRAND NEW With VIEWS, Bright, Open, Studio @ SOCO in South Coquitlam",https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new-with-views-bright/7792988421.html,7792988421
Coquitlam,2091,501,0,1,0,0,0,0,1,1,1,2024-10-17,"Pet Friendly, Studio, Modern, New building,  Near Burquitlam Station",https://vancouver.craigslist.org/bnc/apa/d/coquitlam-pet-friendly-studio-modern/7794261675.html,7794261675
Coquitlam,2075,850,2,1,0,0,0,0,0,1,1,2024-10-22,Spacious 2 bedroom units in a PET FRIENDLY BUILDING,https://vancouver.craigslist.org/pml/apa/d/coquitlam-spacious-bedroom-units-in-pet/7795571590.html,7795571590
Coquitlam,2000,424,0,1,0,0,0,1,1,0,0,2024-10-21,BRAND NEW STUDIO @SOCO Coquitlam for rent ASAP! Please watch the video,https://vancouver.craigslist.org/pml/apa/d/coquitlam-brand-new-studio-soco/7795457674.html,7795457674
Coquitlam,1895,750,2,1,1,0,0,0,0,0,0,2024-10-18,"Gorgeous, newly reno’d 2 BR ground-level Bsmt Suite @ Coquitlam",https://vancouver.craigslist.org/pml/apa/d/coquitlam-gorgeous-newly-renod-br/7794586318.html,7794586318
Delta,4000,1600,4,3.5,0,0,0,0,1,0,0,2024-10-17,4 bedroom large corner townhouse unit,https://vancouver.craigslist.org/rds/apa/d/delta-bedroom-large-corner-townhouse/7794064940.html,7794064940
Delta,3550,1480,3,2.5,0,0,0,0,1,1,1,2024-09-25,3 bedroom +2.5 bath townhouse in North Delta Sunstone Community,https://vancouver.craigslist.org/rds/apa/d/delta-bedroom-25-bath-townhouse-in/7788087165.html,7788087165
Delta,3300,2500,4,3,0,0,0,0,1,1,1,2024-10-08,Prosprise Realty-4Bed 3Bath Entire House in Delta for Rent.Ref:903B,https://vancouver.craigslist.org/rds/apa/d/delta-prosprise-realty-4bed-3bath/7791800855.html,7791800855
Delta,2800,718,2,1,0,1,0,0,1,0,0,2024-10-11,Condo 2bed/1bath,https://vancouver.craigslist.org/rds/apa/d/delta-southeast-condo-2bed-1bath/7792598653.html,7792598653
Delta,2300,1000,2,1,1,1,0,0,0,0,0,2024-10-21,FURNISHED Basement,https://vancouver.craigslist.org/rds/apa/d/delta-southwest-furnished-basement/7795470524.html,7795470524
Delta,2100,800,2,1,1,0,0,0,0,1,1,2024-10-19,New 2 Bedroom Basement Suite in Tsawwassen,https://vancouver.craigslist.org/rds/apa/d/delta-southwest-new-bedroom-basement/7794917452.html,7794917452
Delta,1850,500,1,1,0,0,0,0,0,0,0,2024-10-18,One bedroom apartment for rent,https://vancouver.craigslist.org/rds/apa/d/delta-northeast-one-bedroom-apartment/7794456366.html,7794456366
Delta,1800,1000,2,1,1,1,0,1,0,1,0,2024-10-15,2-Bedroom basement Suite in North Delta,https://vancouver.craigslist.org/rds/apa/d/surrey-bedroom-basement-suite-in-north/7793689174.html,7793689174
Langley,3900,2200,5,4,0,0,0,0,1,0,0,2024-10-04,Walnut Grove Large Home 5 Bed and 4 Bath Forest Hills Langley township,https://vancouver.craigslist.org/rds/apa/d/langley-walnut-grove-large-home-bed-and/7790607968.html,7790607968
Langley,2980,1200,4,3,0,0,0,0,0,0,0,2024-10-22,New ~ Modern main floor 4 bed 3 bath near park & schools,https://vancouver.craigslist.org/rds/apa/d/langley-new-modern-main-floor-bed-bath/7795610889.html,7795610889
Langley,2595,842,2,2,0,0,0,1,1,0,0,2024-10-18,"Stunning, brand new 2BR &Den Penthouse Corner Suite @ Canvas / Langley",https://vancouver.craigslist.org/rds/apa/d/langley-stunning-brand-new-2br-den/7794421863.html,7794421863
Langley,2450,800,2,2,0,0,0,0,1,1,0,2024-10-22,2 BR Condo Willoughby Town Centre (Quadra Homes),https://vancouver.craigslist.org/rds/apa/d/langley-br-condo-willoughby-town-centre/7795574507.html,7795574507
Langley,2300,606,1,1,0,0,0,0,1,1,1,2024-10-21,$2300 Brand New 1 Bedroom 1 Den apartment,https://vancouver.craigslist.org/rds/apa/d/langley-2300-brand-new-bedroom-den/7795468346.html,7795468346
Langley,2100,669,1,1,0,0,0,0,1,0,0,2024-10-17,Modern Latimer Village 1 bed 1 bath condo near shops & restaurants,https://vancouver.craigslist.org/rds/apa/d/langley-modern-latimer-village-bed-bath/7794271931.html,7794271931
Langley,2015,610,1,1,0,0,0,0,0,1,1,2024-10-08,"Situated in Langley City!, Elevator, 1/bd 1/ba",https://vancouver.craigslist.org/rds/apa/d/langley-city-situated-in-langley-city/7791704742.html,7791704742
Langley,1800,605,1,1,0,0,0,0,0,0,0,2024-10-22,Langley Willowbrook Kingdom One Bedroom Condo,https://vancouver.craigslist.org/rds/apa/d/langley-township-northwest-langley/7795611546.html,7795611546
Maple Ridge,1500,750,1,1,0,0,0,0,1,0,0,2024-10-15,Above Ground 1Bed/1Bath! Includes Heat/Hot Water/Electricity/Internet!,https://vancouver.craigslist.org/pml/apa/d/maple-ridge-above-ground-1bed-1bath/7793572223.html,7793572223
New Westminster,3950,1005,2,2,0,0,0,1,1,0,0,2024-10-11,Modren and Brand New Unit at Pier West built by BOSA!,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-modren-and-brand-new/7792498344.html,7792498344
New Westminster,3400,1005,2,2,0,0,0,1,1,0,0,2024-10-22,Luxurious Pier West 2 bed 2 bath Condo,https://vancouver.craigslist.org/van/apa/d/new-westminster-luxurious-pier-west-bed/7795480353.html,7795480353
New Westminster,3300,1079,2,2,0,0,0,0,1,0,1,2024-09-30,2 Bed 2 Bath New West Riverview Apartment!,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-bed-bath-new-west/7789389544.html,7789389544
New Westminster,3200,1002,2,2,0,0,0,0,1,0,0,2024-10-21,2 bedrooms+2 bathrooms in 15th floor,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-southwest-bedrooms2/7795465862.html,7795465862
